,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,15.731579,0.000000,0.000000,0.000000,46.568807,732.600866256253
301,2,15.731579,0.000000,0.000000,0.000000,44.433407,699.0076524596531
301,3,12.455902,0.000000,0.000000,0.000000,43.476748,541.542112366696
301,4,15.731579,0.000000,0.000000,0.000000,43.118001,678.314239053579
301,5,22.732463,0.000000,0.000000,0.000000,43.903828,998.0421455683639
301,6,25.908321,0.000000,0.000000,0.000000,46.500475,1204.749232952475
301,7,23.334982,0.000000,0.000000,0.000000,53.726669,1253.710854034958
301,8,15.731579,0.000000,0.000000,0.000000,57.894970,910.77929425763
301,9,0.000000,0.000000,0.000000,0.000000,60.850364,0.0
301,10,15.731579,0.000000,0.000000,0.000000,63.139513,993.2842367810271
301,11,21.116646,0.000000,0.000000,0.000000,65.257830,1378.0264948381798
301,12,21.116646,0.000000,0.000000,0.000000,65.941158,1392.456090316068
301,13,15.731579,0.000000,0.000000,0.000000,65.548244,1031.1773787972759
301,14,15.731579,0.000000,0.000000,0.000000,65.223663,1026.0712071538771
301,15,22.732463,0.000000,0.000000,0.000000,64.267004,1460.947290550852
301,16,23.334982,0.000000,0.000000,0.000000,63.839924,1489.703477421368
301,17,26.755735,0.000000,0.000000,0.000000,65.650743,1756.5338822611052
301,18,27.274699,0.000000,0.000000,0.000000,72.210693,1969.524916156407
301,19,27.274699,0.000000,0.000000,0.000000,72.740272,1983.969023978128
301,20,27.274699,0.000000,0.000000,0.000000,70.826953,1931.7838241621469
301,21,27.274699,0.000000,0.000000,0.000000,66.914900,1825.0837561151
301,22,26.845141,0.000000,0.000000,0.000000,62.165770,1668.8488610235702
301,23,26.845141,0.000000,0.000000,0.000000,55.588738,1492.287509622058
301,24,26.429209,0.000000,0.000000,0.000000,50.241696,1327.8482840984639
302,1,15.731579,0.372177,0.000000,0.000000,41.825688,657.9841150013519
302,2,15.731579,0.365864,0.000000,0.000000,39.907782,627.8124252477779
302,3,13.030724,0.392354,0.000000,0.000000,39.048561,508.83102098816397
302,4,15.731579,0.206244,0.000000,0.000000,38.726352,609.226665869808
302,5,22.732463,0.235514,0.000000,0.000000,39.432142,896.3897090257459
302,6,25.908321,0.146185,0.000000,0.000000,41.764315,1082.043279365115
302,7,23.334982,0.251450,0.000000,0.000000,48.254508,1126.018075598856
302,8,15.731579,0.194692,0.000000,0.000000,51.998260,818.01473505254
302,9,0.000000,0.222068,0.000000,0.000000,54.652642,0.0
302,10,15.731579,0.105635,0.000000,0.000000,56.708637,892.1164029478231
302,11,21.116646,0.297819,0.000000,0.000000,58.611199,1237.671940918554
302,12,21.116646,0.304575,0.000000,0.000000,59.224929,1250.631860068134
302,13,15.731579,0.268647,0.000000,0.000000,58.872034,926.150053761686
302,14,15.731579,0.156442,0.000000,0.000000,58.580512,921.563952388448
302,15,22.732463,0.287253,0.000000,0.000000,57.721291,1312.147111969733
302,16,23.334982,0.321440,0.000000,0.000000,57.337710,1337.97443077122
302,17,26.755735,0.245612,0.000000,0.000000,58.964094,1577.6276735790902
302,18,27.274699,0.322197,0.000000,0.000000,64.855900,1768.9251508741
302,19,27.274699,0.335013,0.000000,0.000000,65.331541,1781.898115981159
302,20,27.274699,0.294271,0.000000,0.000000,63.613097,1735.028073132803
302,21,27.274699,0.221543,0.000000,0.000000,60.099494,1639.1956089023058
302,22,26.845141,0.229210,0.000000,0.000000,55.834072,1498.8735354441521
302,23,26.845141,0.121515,0.000000,0.000000,49.926922,1340.295260786002
302,24,26.429209,0.117552,0.000000,0.000000,45.124486,1192.604471511574
303,1,15.731579,-14.869952,0.000000,0.000000,77.614679,1221.0014542481408
303,2,15.731579,-14.164921,0.000000,0.000000,74.055679,1165.012764587141
303,3,0.000000,-14.799620,0.000000,0.000000,72.461246,0.0
303,4,15.731579,-9.147115,0.000000,0.000000,71.863334,1130.523716024386
303,5,22.732463,-9.677428,0.000000,0.000000,73.173046,1663.4035607922979
303,6,25.908321,-6.885235,0.000000,0.000000,77.500791,2007.9153709819113
303,7,23.334982,-10.610326,0.000000,0.000000,89.544448,2089.518082279936
303,8,15.731579,-9.048027,0.000000,0.000000,96.491617,1517.9654956732431
303,9,0.000000,-9.975575,0.000000,0.000000,101.417273,0.0
303,10,15.731579,-6.464802,0.000000,0.000000,105.232521,1655.4737174806592
303,11,21.116646,-12.631118,0.000000,0.000000,108.763050,2296.7108247303
303,12,21.116646,-12.266467,0.000000,0.000000,109.901930,2320.76015052678
303,13,15.731579,-11.055366,0.000000,0.000000,109.247074,1718.628975149846
303,14,15.731579,-7.368123,0.000000,0.000000,108.706106,1710.118694321374
