,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.290919,0.000000,0.000000
C1-2,49.238375,0.000000,0.000000
C1-3,48.907280,0.000000,0.000000
C1-4,29.160536,0.000000,0.000000
C1-5,35.409188,0.000000,0.000000
C1-6,48.808943,0.000000,0.000000
C1-7,49.336875,0.000000,0.000000
C1-8,49.634142,0.000000,0.000000
C1-9,50.805732,0.000000,0.000000
C1-10,51.626072,0.000000,0.000000
C1-11,51.876135,0.000000,0.000000
C1-12,51.979382,0.000000,0.000000
C1-13,30.817251,0.000000,0.000000
C1-14,30.229290,0.000000,0.000000
C1-15,30.418494,0.000000,0.000000
C1-16,39.901288,0.000000,0.000000
C1-17,43.263901,0.000000,0.000000
C1-18,37.862469,0.000000,0.000000
C1-19,43.211996,0.000000,0.000000
C1-20,39.946821,0.000000,0.000000
C1-21,36.927670,0.000000,0.000000
C1-22,53.771371,0.000000,0.000000
C1-23,48.604776,0.000000,0.000000
C1-24,44.357267,0.000000,0.000000
C2-1,-127.774969,0.000000,0.000000
C2-2,-123.027928,0.000000,0.000000
C2-3,-122.554320,0.000000,0.000000
C2-4,-81.603510,0.000000,0.000000
C2-5,-96.388476,0.000000,0.000000
C2-6,-125.148448,0.000000,0.000000
C2-7,-125.813756,0.000000,0.000000
C2-8,-126.596968,0.000000,0.000000
C2-9,-126.220045,0.000000,0.000000
C2-10,-126.327992,0.000000,0.000000
C2-11,-128.415112,0.000000,0.000000
C2-12,-127.961678,0.000000,0.000000
C2-13,-143.018436,0.000000,0.000000
C2-14,-144.380171,0.000000,0.000000
C2-15,-140.228868,0.000000,0.000000
C2-16,-133.260179,0.000000,0.000000
C2-17,-113.714764,0.000000,0.000000
C2-18,-107.235894,0.000000,0.000000
C2-19,-117.615242,0.000000,0.000000
C2-20,-107.749951,0.000000,0.000000
C2-21,-100.605112,0.000000,0.000000
C2-22,-76.534236,0.000000,0.000000
C2-23,-64.875945,0.000000,0.000000
C2-24,-55.390987,0.000000,0.000000
C3-1,31.812743,0.000000,0.000000
C3-2,29.099898,0.000000,0.000000
C3-3,30.136126,0.000000,0.000000
C3-4,9.188308,0.000000,0.000000
C3-5,17.673372,0.000000,0.000000
C3-6,32.128179,0.000000,0.000000
C3-7,30.420570,0.000000,0.000000
C3-8,29.710691,0.000000,0.000000
C3-9,24.779704,0.000000,0.000000
C3-10,21.556080,0.000000,0.000000
C3-11,21.838566,0.000000,0.000000
C3-12,21.145220,0.000000,0.000000
C3-13,8.098686,0.000000,0.000000
C3-14,11.295456,0.000000,0.000000
C3-15,7.979941,0.000000,0.000000
C3-16,16.099945,0.000000,0.000000
C3-17,19.560005,0.000000,0.000000
C3-18,13.460107,0.000000,0.000000
C3-19,14.612041,0.000000,0.000000
C3-20,8.883167,0.000000,0.000000
C3-21,6.482883,0.000000,0.000000
C3-22,17.874539,0.000000,0.000000
C3-23,14.509068,0.000000,0.000000
C3-24,12.500345,0.000000,0.000000
C4-1,-15.150773,0.000000,0.000000
C4-2,-11.422850,0.000000,0.000000
C4-3,-11.333801,0.000000,0.000000
C4-4,-17.599892,0.000000,0.000000
C4-5,-16.857376,0.000000,0.000000
C4-6,-13.481304,0.000000,0.000000
C4-7,-13.551862,0.000000,0.000000
C4-8,-13.916390,0.000000,0.000000
C4-9,-12.599676,0.000000,0.000000
C4-10,-11.973325,0.000000,0.000000
C4-11,-13.415341,0.000000,0.000000
C4-12,-12.965264,0.000000,0.000000
C4-13,-25.662456,0.000000,0.000000
C4-14,-27.255358,0.000000,0.000000
C4-15,-23.791134,0.000000,0.000000
C4-16,-18.321970,0.000000,0.000000
C4-17,-17.238994,0.000000,0.000000
C4-18,-23.655603,0.000000,0.000000
C4-19,-22.571315,0.000000,0.000000
C4-20,-21.251992,0.000000,0.000000
C4-21,-21.117919,0.000000,0.000000
C4-22,-8.887511,0.000000,0.000000
C4-23,-8.996582,0.000000,0.000000
C4-24,-8.963704,0.000000,0.000000
C5-1,22.523945,0.000000,0.000000
C5-2,20.523294,0.000000,0.000000
C5-3,21.161833,0.000000,0.000000
C5-4,7.911329,0.000000,0.000000
C5-5,13.371436,0.000000,0.000000
C5-6,22.581927,0.000000,0.000000
C5-7,21.523346,0.000000,0.000000
C5-8,21.111114,0.000000,0.000000
C5-9,17.928027,0.000000,0.000000
C5-10,15.866559,0.000000,0.000000
C5-11,16.162403,0.000000,0.000000
C5-12,15.692826,0.000000,0.000000
C5-13,7.887647,0.000000,0.000000
C5-14,10.012645,0.000000,0.000000
C5-15,7.658219,0.000000,0.000000
C5-16,12.607787,0.000000,0.000000
C5-17,14.795366,0.000000,0.000000
C5-18,11.299629,0.000000,0.000000
C5-19,12.081951,0.000000,0.000000
C5-20,8.279959,0.000000,0.000000
C5-21,6.676402,0.000000,0.000000
C5-22,13.361033,0.000000,0.000000
C5-23,11.111323,0.000000,0.000000
C5-24,9.730809,0.000000,0.000000
C6-1,175.000000,0.000000,0.000000
C6-2,175.000000,0.000000,0.000000
C6-3,175.000000,0.000000,0.000000
C6-4,88.056451,0.000000,0.000000
C6-5,116.417610,0.000000,0.000000
C6-6,175.000000,0.000000,0.000000
C6-7,175.000000,0.000000,36.682861
C6-8,175.000000,0.000000,0.000000
C6-9,175.000000,0.000000,0.000000
C6-10,175.000000,0.000000,0.000000
C6-11,175.000000,0.000000,0.000000
C6-12,175.000000,0.000000,0.000000
C6-13,175.000000,0.000000,0.000000
C6-14,175.000000,0.000000,0.000000
C6-15,175.000000,0.000000,0.000000
C6-16,175.000000,0.000000,0.000000
C6-17,142.780313,0.000000,0.000000
C6-18,115.193800,0.000000,0.000000
C6-19,134.009523,0.000000,0.000000
C6-20,119.215900,0.000000,0.000000
C6-21,107.485588,0.000000,0.000000
C6-22,91.909298,0.000000,0.000000
C6-23,72.290352,0.000000,0.000000
C6-24,56.970018,0.000000,0.000000
C7-1,47.787422,0.000000,0.000000
C7-2,29.282269,0.000000,0.000000
C7-3,42.067784,0.000000,0.000000
C7-4,-35.351071,0.000000,0.000000
C7-5,-0.749279,0.000000,0.000000
C7-6,57.965072,0.000000,0.000000
C7-7,39.572835,0.000000,0.000000
C7-8,57.432731,0.000000,0.000000
C7-9,192.451877,0.000000,0.000000
C7-10,183.785320,0.000000,0.000000
C7-11,102.519853,0.000000,0.000000
C7-12,205.634860,0.000000,0.000000
C7-13,158.364965,0.000000,0.000000
C7-14,78.018016,0.000000,0.000000
C7-15,104.838502,0.000000,0.000000
C7-16,110.525019,0.000000,0.000000
C7-17,44.628494,0.000000,0.000000
C7-18,-30.043559,0.000000,0.000000
C7-19,-49.201774,0.000000,0.000000
C7-20,-97.133456,0.000000,0.000000
C7-21,-107.139111,0.000000,0.000000
C7-22,-78.757412,0.000000,0.000000
C7-23,-80.202983,0.000000,0.000000
C7-24,-83.983298,0.000000,0.000000
C8-1,-47.129261,0.000000,0.000000
C8-2,-42.043540,0.000000,0.000000
C8-3,-41.146835,0.000000,0.000000
C8-4,-47.237348,0.000000,0.000000
C8-5,-46.529948,0.000000,0.000000
C8-6,-43.774250,0.000000,0.000000
C8-7,-45.108964,0.000000,0.000000
C8-8,-46.292853,0.000000,0.000000
C8-9,-47.293760,0.000000,0.000000
C8-10,-48.388067,0.000000,0.000000
C8-11,-50.895252,0.000000,0.000000
C8-12,-50.538817,0.000000,0.000000
C8-13,-62.732687,0.000000,0.000000
C8-14,-63.471112,0.000000,0.000000
C8-15,-59.304579,0.000000,0.000000
C8-16,-53.121400,0.000000,0.000000
C8-17,-52.108656,0.000000,0.000000
C8-18,-61.966581,0.000000,0.000000
