,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.579821,0.000000,0.000000
C1-2,48.183073,0.000000,0.000000
C1-3,48.002021,0.000000,0.000000
C1-4,47.882094,0.000000,0.000000
C1-5,47.963596,0.000000,0.000000
C1-6,49.593442,0.000000,0.000000
C1-7,49.874106,0.000000,0.000000
C1-8,50.971304,0.000000,0.000000
C1-9,52.012405,0.000000,0.000000
C1-10,53.343810,0.000000,0.000000
C1-11,47.563251,0.000000,0.000000
C1-12,54.301884,0.000000,0.000000
C1-13,45.499066,0.000000,0.000000
C1-14,52.912870,0.000000,0.000000
C1-15,53.366266,0.000000,0.000000
C1-16,53.111580,0.000000,0.000000
C1-17,52.437154,0.000000,0.000000
C1-18,53.390349,0.000000,0.000000
C1-19,53.890418,0.000000,0.000000
C1-20,53.611095,0.000000,0.000000
C1-21,52.537451,0.000000,0.000000
C1-22,51.613600,0.000000,0.000000
C1-23,49.990659,0.000000,0.000000
C1-24,49.261095,0.000000,0.000000
C2-1,-130.679967,0.000000,0.000000
C2-2,-129.164371,0.000000,0.000000
C2-3,-128.626592,0.000000,0.000000
C2-4,-128.143411,0.000000,0.000000
C2-5,-128.394077,0.000000,0.000000
C2-6,-121.846044,0.000000,0.000000
C2-7,-134.322364,0.000000,0.000000
C2-8,-134.306142,0.000000,0.000000
C2-9,-133.884599,0.000000,0.000000
C2-10,-129.853546,0.000000,0.000000
C2-11,-123.136518,0.000000,0.000000
C2-12,-129.593544,0.000000,0.000000
C2-13,-116.757319,0.000000,0.000000
C2-14,-140.213386,0.000000,0.000000
C2-15,-135.414559,0.000000,0.000000
C2-16,-135.142589,0.000000,0.000000
C2-17,-139.316714,0.000000,0.000000
C2-18,-143.809090,0.000000,0.000000
C2-19,-144.870671,0.000000,0.000000
C2-20,-142.167894,0.000000,0.000000
C2-21,-143.689484,0.000000,0.000000
C2-22,-139.367376,0.000000,0.000000
C2-23,-134.974220,0.000000,0.000000
C2-24,-132.722858,0.000000,0.000000
C3-1,36.453831,0.000000,0.000000
C3-2,37.111637,0.000000,0.000000
C3-3,37.506570,0.000000,0.000000
C3-4,37.689979,0.000000,0.000000
C3-5,37.517478,0.000000,0.000000
C3-6,26.947952,0.000000,0.000000
C3-7,33.506151,0.000000,0.000000
C3-8,29.095674,0.000000,0.000000
C3-9,24.660553,0.000000,0.000000
C3-10,16.838114,0.000000,0.000000
C3-11,13.868743,0.000000,0.000000
C3-12,12.835476,0.000000,0.000000
C3-13,9.024149,0.000000,0.000000
C3-14,24.946831,0.000000,0.000000
C3-15,20.172937,0.000000,0.000000
C3-16,21.026896,0.000000,0.000000
C3-17,26.302527,0.000000,0.000000
C3-18,25.246327,0.000000,0.000000
C3-19,23.894521,0.000000,0.000000
C3-20,23.350219,0.000000,0.000000
C3-21,28.593350,0.000000,0.000000
C3-22,29.636724,0.000000,0.000000
C3-23,31.957303,0.000000,0.000000
