,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.579821,0.000000,0.000000
C1-2,48.183073,0.000000,0.000000
C1-3,48.002021,0.000000,0.000000
C1-4,40.393084,0.000000,0.000000
C1-5,47.963596,0.000000,0.000000
C1-6,34.111898,0.000000,0.000000
C1-7,49.874106,0.000000,0.000000
C1-8,51.191558,0.000000,0.000000
C1-9,52.109380,0.000000,0.000000
C1-10,52.806181,0.000000,0.000000
C1-11,53.008816,0.000000,0.000000
C1-12,37.245374,0.000000,0.000000
C1-13,44.753486,0.000000,0.000000
C1-14,53.224323,0.000000,0.000000
C1-15,49.002423,0.000000,0.000000
C1-16,53.089564,0.000000,0.000000
C1-17,52.437154,0.000000,0.000000
C1-18,53.390349,0.000000,0.000000
C1-19,53.890418,0.000000,0.000000
C1-20,53.611095,0.000000,0.000000
C1-21,52.537451,0.000000,0.000000
C1-22,51.613600,0.000000,0.000000
C1-23,50.379567,0.000000,0.000000
C1-24,49.261095,0.000000,0.000000
C2-1,-130.679967,0.000000,0.000000
C2-2,-129.164371,0.000000,0.000000
C2-3,-128.626592,0.000000,0.000000
C2-4,-99.781131,0.000000,0.000000
C2-5,-128.394077,0.000000,0.000000
C2-6,-99.587260,0.000000,0.000000
C2-7,-134.322364,0.000000,0.000000
C2-8,-132.579854,0.000000,0.000000
C2-9,-133.124536,0.000000,0.000000
C2-10,-134.067324,0.000000,0.000000
C2-11,-137.771412,0.000000,0.000000
C2-12,-98.623731,0.000000,0.000000
C2-13,-115.200242,0.000000,0.000000
C2-14,-137.772307,0.000000,0.000000
C2-15,-126.301067,0.000000,0.000000
C2-16,-135.096610,0.000000,0.000000
C2-17,-139.316714,0.000000,0.000000
C2-18,-143.809090,0.000000,0.000000
C2-19,-144.870671,0.000000,0.000000
C2-20,-142.167894,0.000000,0.000000
C2-21,-143.689484,0.000000,0.000000
C2-22,-139.367376,0.000000,0.000000
C2-23,-135.786419,0.000000,0.000000
C2-24,-132.722858,0.000000,0.000000
C3-1,36.453831,0.000000,0.000000
C3-2,37.111637,0.000000,0.000000
C3-3,37.506570,0.000000,0.000000
C3-4,16.816709,0.000000,0.000000
C3-5,37.517478,0.000000,0.000000
C3-6,20.170712,0.000000,0.000000
C3-7,33.506151,0.000000,0.000000
C3-8,27.149132,0.000000,0.000000
C3-9,23.803514,0.000000,0.000000
C3-10,21.589520,0.000000,0.000000
C3-11,23.058072,0.000000,0.000000
C3-12,-1.077828,0.000000,0.000000
C3-13,8.212652,0.000000,0.000000
C3-14,22.194299,0.000000,0.000000
C3-15,15.423288,0.000000,0.000000
C3-16,21.002934,0.000000,0.000000
C3-17,26.302527,0.000000,0.000000
C3-18,25.246327,0.000000,0.000000
C3-19,23.894521,0.000000,0.000000
C3-20,23.350219,0.000000,0.000000
C3-21,28.593350,0.000000,0.000000
C3-22,29.636724,0.000000,0.000000
C3-23,32.380595,0.000000,0.000000
