,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,40.267056,0.000000,0.000000
C1-2,37.356730,0.000000,0.000000
C1-3,37.112687,0.000000,0.000000
C1-4,27.480348,0.000000,0.000000
C1-5,26.589706,0.000000,0.000000
C1-6,21.425291,0.000000,0.000000
C1-7,21.623723,0.000000,0.000000
C1-8,18.655001,0.000000,0.000000
C1-9,19.295482,0.000000,0.000000
C1-10,26.977128,0.000000,0.000000
C1-11,24.235512,0.000000,0.000000
C1-12,26.816356,0.000000,0.000000
C1-13,27.321023,0.000000,0.000000
C1-14,28.533236,0.000000,0.000000
C1-15,24.038058,0.000000,0.000000
C1-16,20.772639,0.000000,0.000000
C1-17,25.520753,0.000000,0.000000
C1-18,6.800751,0.000000,0.000000
C1-19,24.206935,0.000000,0.000000
C1-20,22.473978,0.000000,0.000000
C1-21,27.036371,0.000000,0.000000
C1-22,25.905635,0.000000,0.000000
C1-23,72.595859,0.000000,0.000000
C1-24,71.520645,0.000000,0.000000
C2-1,-103.617149,0.000000,0.000000
C2-2,-97.223888,0.000000,0.000000
C2-3,-94.099714,0.000000,0.000000
C2-4,-94.465986,0.000000,0.000000
C2-5,-71.294451,0.000000,0.000000
C2-6,-61.447751,0.000000,0.000000
C2-7,-63.939715,0.000000,0.000000
C2-8,-60.398820,0.000000,0.000000
C2-9,-63.360230,0.000000,0.000000
C2-10,-63.010752,0.000000,0.000000
C2-11,-75.956421,0.000000,0.000000
C2-12,-80.406858,0.000000,0.000000
C2-13,-81.045246,0.000000,0.000000
C2-14,-82.176638,0.000000,0.000000
C2-15,-68.527263,0.000000,0.000000
C2-16,-65.979406,0.000000,0.000000
C2-17,-75.857918,0.000000,0.000000
C2-18,-96.225395,0.000000,0.000000
C2-19,-71.938651,0.000000,0.000000
C2-20,-67.438128,0.000000,0.000000
C2-21,-96.468643,0.000000,0.000000
C2-22,-132.892365,0.000000,0.000000
C2-23,-112.067200,0.000000,0.000000
C2-24,-109.687472,0.000000,0.000000
C3-1,17.720862,0.000000,0.000000
C3-2,15.843748,0.000000,0.000000
C3-3,13.629862,0.000000,0.000000
C3-4,5.468092,0.000000,0.000000
C3-5,1.432995,0.000000,0.000000
C3-6,-5.880103,0.000000,0.000000
C3-7,-9.241110,0.000000,0.000000
C3-8,-13.793669,0.000000,0.000000
C3-9,-14.991880,0.000000,0.000000
C3-10,-10.507907,0.000000,0.000000
C3-11,-12.494846,0.000000,0.000000
C3-12,-11.650244,0.000000,0.000000
C3-13,-11.414025,0.000000,0.000000
C3-14,-11.255681,0.000000,0.000000
C3-15,-19.521550,0.000000,0.000000
