,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.012915,-0.000000,0.000000
C1-2,48.630127,-0.000000,0.000000
C1-3,37.401193,-0.000000,0.000000
C1-4,58.130535,-0.000000,0.000000
C1-5,48.493211,-0.000000,0.000000
C1-6,48.589362,-0.000000,0.000000
C1-7,48.989315,-0.000000,0.000000
C1-8,49.624822,-0.000000,0.000000
C1-9,50.327941,-0.000000,0.000000
C1-10,50.876601,-0.000000,0.000000
C1-11,51.257939,-0.000000,0.000000
C1-12,40.711591,-0.000000,0.000000
C1-13,51.123167,-0.000000,0.000000
C1-14,50.826536,-0.000000,0.000000
C1-15,29.769005,-0.000000,0.000000
C1-16,29.432923,-0.000000,0.000000
C1-17,28.602775,-0.000000,0.000000
C1-18,71.912378,-0.000000,0.000000
C1-19,72.929513,-0.000000,0.000000
C1-20,63.091861,-0.000000,0.000000
C1-21,51.294448,-0.000000,0.000000
C1-22,50.662891,-0.000000,0.000000
C1-23,49.957958,-0.000000,0.000000
C1-24,49.226392,-0.000000,0.000000
C2-1,-129.953884,-0.000000,0.000000
C2-2,-127.795195,-0.000000,0.000000
C2-3,-133.909688,-0.000000,0.000000
C2-4,-116.600123,-0.000000,0.000000
C2-5,-125.265992,-0.000000,0.000000
C2-6,-126.869454,-0.000000,0.000000
C2-7,-128.537827,-0.000000,0.000000
C2-8,-126.670015,-0.000000,0.000000
C2-9,-129.964826,-0.000000,0.000000
C2-10,-132.202120,-0.000000,0.000000
C2-11,-133.260352,-0.000000,0.000000
C2-12,-111.445310,-0.000000,0.000000
C2-13,-132.760100,-0.000000,0.000000
C2-14,-131.838475,-0.000000,0.000000
C2-15,-145.319367,-0.000000,0.000000
C2-16,-145.240627,-0.000000,0.000000
C2-17,-146.945816,-0.000000,0.000000
C2-18,-123.427977,-0.000000,0.000000
C2-19,-125.551335,-0.000000,0.000000
C2-20,-133.385783,-0.000000,0.000000
C2-21,-139.467254,-0.000000,0.000000
C2-22,-138.413365,-0.000000,0.000000
C2-23,-135.799863,-0.000000,0.000000
C2-24,-133.128268,-0.000000,0.000000
