,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,13.734339,0.000000,0.000000
C1-2,12.863400,0.000000,0.000000
C1-3,13.106804,0.000000,0.000000
C1-4,30.193450,0.000000,0.000000
C1-5,34.109340,0.000000,0.000000
C1-6,20.677388,0.000000,0.000000
C1-7,20.169101,0.000000,0.000000
C1-8,14.492619,0.000000,0.000000
C1-9,-9.109012,0.000000,0.000000
C1-10,0.724150,0.000000,0.000000
C1-11,4.179648,0.000000,0.000000
C1-12,4.265152,0.000000,0.000000
C1-13,12.542609,0.000000,0.000000
C1-14,15.824109,0.000000,0.000000
C1-15,9.464030,0.000000,0.000000
C1-16,22.092207,0.000000,0.000000
C1-17,72.351720,0.000000,0.000000
C1-18,74.944601,0.000000,0.000000
C1-19,75.227993,0.000000,0.000000
C1-20,53.947631,0.000000,0.000000
C1-21,53.393548,0.000000,0.000000
C1-22,52.455382,0.000000,0.000000
C1-23,51.073752,0.000000,0.000000
C1-24,50.182558,0.000000,0.000000
C2-1,-45.536488,0.000000,0.000000
C2-2,-45.267723,0.000000,0.000000
C2-3,-48.767230,0.000000,0.000000
C2-4,-83.650149,0.000000,0.000000
C2-5,-91.529733,0.000000,0.000000
C2-6,-65.873794,0.000000,0.000000
C2-7,-64.781012,0.000000,0.000000
C2-8,-48.967499,0.000000,0.000000
C2-9,-58.177880,0.000000,0.000000
C2-10,-52.478182,0.000000,0.000000
C2-11,-33.623918,0.000000,0.000000
C2-12,-36.563421,0.000000,0.000000
C2-13,-46.084689,0.000000,0.000000
C2-14,-63.600090,0.000000,0.000000
C2-15,-102.148284,0.000000,0.000000
C2-16,-123.387424,0.000000,0.000000
C2-17,-122.217873,0.000000,0.000000
C2-18,-134.440181,0.000000,0.000000
C2-19,-137.778159,0.000000,0.000000
C2-20,-150.337158,0.000000,0.000000
C2-21,-148.008948,0.000000,0.000000
C2-22,-144.021403,0.000000,0.000000
C2-23,-139.729398,0.000000,0.000000
C2-24,-132.571907,0.000000,0.000000
C3-1,-14.715408,0.000000,0.000000
C3-2,-12.626996,0.000000,0.000000
C3-3,-8.226319,0.000000,0.000000
C3-4,9.962868,0.000000,0.000000
C3-5,13.362816,0.000000,0.000000
C3-6,-1.526150,0.000000,0.000000
C3-7,-8.243514,0.000000,0.000000
C3-8,-22.685512,0.000000,0.000000
C3-9,-42.999727,0.000000,0.000000
C3-10,-37.189824,0.000000,0.000000
C3-11,-34.737318,0.000000,0.000000
C3-12,-32.293316,0.000000,0.000000
C3-13,-30.605341,0.000000,0.000000
C3-14,-16.149358,0.000000,0.000000
C3-15,-20.318593,0.000000,0.000000
C3-16,-10.597223,0.000000,0.000000
C3-17,37.614966,0.000000,0.000000
C3-18,40.223198,0.000000,0.000000
C3-19,41.142383,0.000000,0.000000
C3-20,27.031729,0.000000,0.000000
C3-21,27.820082,0.000000,0.000000
C3-22,29.126920,0.000000,0.000000
C3-23,32.024833,0.000000,0.000000
C3-24,31.190994,0.000000,0.000000
C4-1,-20.709606,0.000000,0.000000
C4-2,-21.610524,0.000000,0.000000
C4-3,-23.249023,0.000000,0.000000
C4-4,-17.272192,0.000000,0.000000
C4-5,-16.013059,0.000000,0.000000
C4-6,-22.600583,0.000000,0.000000
C4-7,-24.511597,0.000000,0.000000
C4-8,-24.816000,0.000000,0.000000
C4-9,-38.875035,0.000000,0.000000
C4-10,-34.598356,0.000000,0.000000
C4-11,-34.291021,0.000000,0.000000
C4-12,-36.270949,0.000000,0.000000
C4-13,-28.257463,0.000000,0.000000
C4-14,-34.463192,0.000000,0.000000
C4-15,-37.426633,0.000000,0.000000
C4-16,-29.666545,0.000000,0.000000
C4-17,-9.942198,0.000000,0.000000
C4-18,-15.821662,0.000000,0.000000
C4-19,-18.229081,0.000000,0.000000
C4-20,-29.043384,0.000000,0.000000
C4-21,-27.673649,0.000000,0.000000
C4-22,-25.318300,0.000000,0.000000
C4-23,-23.105913,0.000000,0.000000
C4-24,-18.189920,0.000000,0.000000
C5-1,-7.335714,0.000000,0.000000
C5-2,-5.970872,0.000000,0.000000
C5-3,-3.060971,0.000000,0.000000
C5-4,8.401738,0.000000,0.000000
C5-5,10.552169,0.000000,0.000000
C5-6,1.314193,0.000000,0.000000
C5-7,-2.791304,0.000000,0.000000
C5-8,-12.029881,0.000000,0.000000
C5-9,-24.380291,0.000000,0.000000
C5-10,-20.787745,0.000000,0.000000
C5-11,-19.173905,0.000000,0.000000
C5-12,-17.476711,0.000000,0.000000
C5-13,-16.813816,0.000000,0.000000
C5-14,-7.127125,0.000000,0.000000
C5-15,-9.695227,0.000000,0.000000
C5-16,-3.829828,0.000000,0.000000
C5-17,26.383131,0.000000,0.000000
C5-18,28.549401,0.000000,0.000000
C5-19,29.322307,0.000000,0.000000
C5-20,20.697437,0.000000,0.000000
C5-21,21.075106,0.000000,0.000000
C5-22,21.694119,0.000000,0.000000
C5-23,23.316805,0.000000,0.000000
C5-24,22.388770,0.000000,0.000000
C6-1,14.300455,0.000000,0.000000
C6-2,12.862586,0.000000,0.000000
C6-3,16.601005,0.000000,0.000000
C6-4,92.299791,0.000000,0.000000
C6-5,108.838466,0.000000,0.000000
C6-6,47.384073,0.000000,0.000000
C6-7,38.004568,0.000000,0.000000
C6-8,6.128872,0.000000,0.000000
C6-9,-9.479885,0.000000,0.000000
C6-10,-11.436845,0.000000,0.000000
C6-11,-44.887366,0.000000,0.000000
C6-12,-43.754148,0.000000,0.000000
C6-13,-10.076519,0.000000,0.000000
C6-14,9.452830,0.000000,0.000000
C6-15,71.854588,0.000000,0.000000
C6-16,126.728203,0.000000,0.000000
C6-17,168.640957,0.000000,0.000000
C6-18,175.000000,0.000000,28.644698
C6-19,175.000000,0.000000,68.375744
C6-20,175.000000,0.000000,64.517839
C6-21,175.000000,0.000000,62.388963
C6-22,175.000000,0.000000,57.218865
C6-23,175.000000,0.000000,36.682861
C6-24,175.000000,0.000000,0.000000
C7-1,-137.366206,0.000000,0.000000
C7-2,-133.182508,0.000000,0.000000
C7-3,-137.812810,0.000000,0.000000
C7-4,-16.139659,0.000000,0.000000
C7-5,4.802506,0.000000,0.000000
C7-6,-107.628794,0.000000,0.000000
C7-7,-182.977956,0.000000,0.000000
C7-8,-147.863692,0.000000,0.000000
C7-9,-175.275692,0.000000,0.000000
C7-10,-165.263450,0.000000,0.000000
C7-11,-59.276453,0.000000,0.000000
C7-12,-131.861915,0.000000,0.000000
C7-13,-83.720540,0.000000,0.000000
C7-14,-68.695154,0.000000,0.000000
C7-15,9.492383,0.000000,0.000000
C7-16,-6.569692,0.000000,0.000000
C7-17,26.189193,0.000000,0.000000
C7-18,64.005849,0.000000,0.000000
C7-19,105.068227,0.000000,0.000000
C7-20,83.864110,0.000000,0.000000
C7-21,89.312431,0.000000,0.000000
C7-22,65.367668,0.000000,0.000000
C7-23,44.616452,0.000000,0.000000
C7-24,26.667924,0.000000,0.000000
C8-1,-52.582747,0.000000,0.000000
C8-2,-52.465316,0.000000,0.000000
C8-3,-53.319570,0.000000,0.000000
C8-4,-47.073521,0.000000,0.000000
C8-5,-46.200658,0.000000,0.000000
C8-6,-54.614186,0.000000,0.000000
C8-7,-60.727352,0.000000,0.000000
C8-8,-63.981454,0.000000,0.000000
C8-9,-80.182532,0.000000,0.000000
C8-10,-77.404113,0.000000,0.000000
C8-11,-78.267295,0.000000,0.000000
C8-12,-80.528146,0.000000,0.000000
C8-13,-72.210326,0.000000,0.000000
C8-14,-78.263888,0.000000,0.000000
C8-15,-80.595251,0.000000,0.000000
C8-16,-72.074327,0.000000,0.000000
C8-17,-52.595789,0.000000,0.000000
C8-18,-63.286072,0.000000,0.000000
C8-19,-67.156636,0.000000,0.000000
C8-20,-76.566320,0.000000,0.000000
C8-21,-73.440811,0.000000,0.000000
C8-22,-68.100647,0.000000,0.000000
C8-23,-61.908507,0.000000,0.000000
C8-24,-53.270274,0.000000,0.000000
C9-1,-45.296395,0.000000,0.000000
C9-2,-42.230919,0.000000,0.000000
C9-3,-37.077790,0.000000,0.000000
C9-4,-18.630299,0.000000,0.000000
C9-5,-15.600961,0.000000,0.000000
C9-6,-32.241904,0.000000,0.000000
C9-7,-42.991063,0.000000,0.000000
C9-8,-60.263177,0.000000,0.000000
C9-9,-82.632596,0.000000,0.000000
C9-10,-78.260213,0.000000,0.000000
C9-11,-76.930770,0.000000,0.000000
C9-12,-74.756302,0.000000,0.000000
C9-13,-72.776331,0.000000,0.000000
C9-14,-58.174350,0.000000,0.000000
C9-15,-61.737132,0.000000,0.000000
C9-16,-51.285770,0.000000,0.000000
C9-17,-3.309425,0.000000,0.000000
C9-18,-5.316979,0.000000,0.000000
C9-19,-5.801622,0.000000,0.000000
C9-20,-18.564602,0.000000,0.000000
C9-21,-16.091655,0.000000,0.000000
C9-22,-11.921008,0.000000,0.000000
C9-23,-5.204683,0.000000,0.000000
C9-24,-2.467183,0.000000,0.000000
C10-1,-65.913379,0.000000,0.000000
C10-2,-62.676978,0.000000,0.000000
C10-3,-58.325761,0.000000,0.000000
C10-4,-46.368271,0.000000,0.000000
C10-5,-44.927743,0.000000,0.000000
C10-6,-57.521619,0.000000,0.000000
C10-7,-69.349988,0.000000,0.000000
C10-8,-84.009634,0.000000,0.000000
C10-9,-100.296773,0.000000,0.000000
C10-10,-99.457786,0.000000,0.000000
C10-11,-99.995164,0.000000,0.000000
C10-12,-98.814263,0.000000,0.000000
C10-13,-97.592050,0.000000,0.000000
C10-14,-87.625702,0.000000,0.000000
C10-15,-89.032146,0.000000,0.000000
C10-16,-81.768455,0.000000,0.000000
C10-17,-52.007252,0.000000,0.000000
C10-18,-58.682488,0.000000,0.000000
C10-19,-60.598605,0.000000,0.000000
C10-20,-66.642012,0.000000,0.000000
C10-21,-63.037517,0.000000,0.000000
C10-22,-56.932898,0.000000,0.000000
C10-23,-47.996071,0.000000,0.000000
C10-24,-42.083233,0.000000,0.000000
C11-1,-53.839766,0.000000,0.000000
C11-2,-52.119582,0.000000,0.000000
C11-3,-50.794843,0.000000,0.000000
C11-4,-50.340082,0.000000,0.000000
C11-5,-50.992566,0.000000,0.000000
C11-6,-54.077033,0.000000,0.000000
C11-7,-61.175261,0.000000,0.000000
C11-8,-66.157861,0.000000,0.000000
C11-9,-69.776178,0.000000,0.000000
C11-10,-72.307023,0.000000,0.000000
C11-11,-74.284245,0.000000,0.000000
C11-12,-74.758779,0.000000,0.000000
C11-13,-74.244701,0.000000,0.000000
C11-14,-73.987662,0.000000,0.000000
C11-15,-72.919962,0.000000,0.000000
C11-16,-71.634767,0.000000,0.000000
C11-17,-72.049984,0.000000,0.000000
C11-18,-14.176368,0.000000,0.000000
C11-19,5.352104,0.000000,0.000000
C11-20,7.724771,0.000000,0.000000
C11-21,10.690604,0.000000,0.000000
C11-22,-51.889873,0.000000,0.000000
C11-23,-65.544922,0.000000,0.000000
C11-24,-59.257355,0.000000,0.000000
C12-1-1,-71.835836,0.000000,0.000000
C12-1-2,-71.501180,0.000000,0.000000
C12-1-3,-73.329832,0.000000,0.000000
C12-1-4,-77.402305,0.000000,0.000000
C12-1-5,-78.932625,0.000000,0.000000
C12-1-6,-80.068587,0.000000,0.000000
C12-1-7,-86.559805,0.000000,0.000000
C12-1-8,-78.566903,0.000000,0.000000
C12-1-9,-70.371037,0.000000,0.000000
C12-1-10,-89.855997,0.000000,0.000000
C12-1-11,-59.975769,0.000000,0.000000
C12-1-12,-99.417846,0.000000,0.000000
C12-1-13,-55.215435,0.000000,0.000000
C12-1-14,-105.185313,0.000000,0.000000
C12-1-15,-76.442217,0.000000,0.000000
C12-1-16,-86.303985,0.000000,0.000000
C12-1-17,-111.445787,0.000000,0.000000
C12-1-18,-93.725656,0.000000,0.000000
C12-1-19,-87.893750,0.000000,0.000000
C12-1-20,-86.076636,0.000000,0.000000
C12-1-21,-81.938959,0.000000,0.000000
C12-1-22,-108.679696,0.000000,0.000000
C12-1-23,-110.702163,0.000000,0.000000
C12-1-24,-99.196451,0.000000,0.000000
C13-2-1,-55.656730,0.000000,0.000000
C13-2-2,-51.917991,0.000000,0.000000
C13-2-3,-46.952358,0.000000,0.000000
C13-2-4,-41.803010,0.000000,0.000000
C13-2-5,-41.817770,0.000000,0.000000
C13-2-6,-47.985826,0.000000,0.000000
C13-2-7,-58.303213,0.000000,0.000000
C13-2-8,-64.194913,0.000000,0.000000
C13-2-9,-55.358954,0.000000,0.000000
C13-2-10,-75.396318,0.000000,0.000000
C13-2-11,-43.529324,0.000000,0.000000
C13-2-12,-77.610942,0.000000,0.000000
C13-2-13,-43.596017,0.000000,0.000000
C13-2-14,-70.017471,0.000000,0.000000
C13-2-15,-41.032253,0.000000,0.000000
C13-2-16,-52.727145,0.000000,0.000000
