,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.038105,0.000000,0.000000
C1-2,47.583586,0.000000,0.000000
C1-3,47.448522,0.000000,0.000000
C1-4,47.640930,0.000000,0.000000
C1-5,49.507475,0.000000,0.000000
C1-6,49.497825,0.000000,0.000000
C1-7,50.278294,0.000000,0.000000
C1-8,51.725446,0.000000,0.000000
C1-9,53.283803,0.000000,0.000000
C1-10,54.239679,0.000000,0.000000
C1-11,55.003877,0.000000,0.000000
C1-12,34.840256,0.000000,0.000000
C1-13,56.125077,0.000000,0.000000
C1-14,35.773839,0.000000,0.000000
C1-15,35.977665,0.000000,0.000000
C1-16,45.575408,0.000000,0.000000
C1-17,69.144928,0.000000,0.000000
C1-18,62.184224,0.000000,0.000000
C1-19,75.267875,0.000000,0.000000
C1-20,74.787660,0.000000,0.000000
C1-21,52.930659,0.000000,0.000000
C1-22,46.874499,0.000000,0.000000
C1-23,29.856120,0.000000,0.000000
C1-24,37.796773,0.000000,0.000000
C2-1,-128.121414,0.000000,0.000000
C2-2,-126.969660,0.000000,0.000000
C2-3,-126.382755,0.000000,0.000000
C2-4,-127.187313,0.000000,0.000000
C2-5,-120.918803,0.000000,0.000000
C2-6,-133.980544,0.000000,0.000000
C2-7,-136.891473,0.000000,0.000000
C2-8,-140.492048,0.000000,0.000000
C2-9,-141.620000,0.000000,0.000000
C2-10,-144.267963,0.000000,0.000000
C2-11,-146.950640,0.000000,0.000000
C2-12,-162.987018,0.000000,0.000000
C2-13,-150.882281,0.000000,0.000000
C2-14,-166.476810,0.000000,0.000000
C2-15,-167.102929,0.000000,0.000000
C2-16,-160.656441,0.000000,0.000000
C2-17,-141.863800,0.000000,0.000000
C2-18,-146.183585,0.000000,0.000000
C2-19,-138.132670,0.000000,0.000000
C2-20,-136.381806,0.000000,0.000000
C2-21,-146.700438,0.000000,0.000000
C2-22,-131.002579,0.000000,0.000000
C2-23,-92.643671,0.000000,0.000000
C2-24,-106.680411,0.000000,0.000000
C3-1,37.050724,0.000000,0.000000
C3-2,38.164309,0.000000,0.000000
C3-3,38.344546,0.000000,0.000000
C3-4,38.068370,0.000000,0.000000
C3-5,26.721673,0.000000,0.000000
C3-6,34.804769,0.000000,0.000000
C3-7,33.467339,0.000000,0.000000
C3-8,29.880806,0.000000,0.000000
C3-9,24.325441,0.000000,0.000000
C3-10,22.122557,0.000000,0.000000
C3-11,20.709812,0.000000,0.000000
C3-12,4.261915,0.000000,0.000000
C3-13,18.634458,0.000000,0.000000
C3-14,2.666907,0.000000,0.000000
C3-15,2.235039,0.000000,0.000000
C3-16,10.215633,0.000000,0.000000
C3-17,28.123831,0.000000,0.000000
C3-18,31.371371,0.000000,0.000000
C3-19,41.200765,0.000000,0.000000
C3-20,42.048433,0.000000,0.000000
C3-21,28.870696,0.000000,0.000000
C3-22,25.925612,0.000000,0.000000
C3-23,11.008368,0.000000,0.000000
C3-24,22.263581,0.000000,0.000000
C4-1,-16.513773,0.000000,0.000000
C4-2,-15.992797,0.000000,0.000000
C4-3,-15.643505,0.000000,0.000000
C4-4,-16.116032,0.000000,0.000000
C4-5,-9.512642,0.000000,0.000000
C4-6,-19.904114,0.000000,0.000000
C4-7,-21.540536,0.000000,0.000000
C4-8,-23.146408,0.000000,0.000000
C4-9,-22.690191,0.000000,0.000000
C4-10,-23.965299,0.000000,0.000000
C4-11,-25.434402,0.000000,0.000000
C4-12,-38.043484,0.000000,0.000000
C4-13,-27.586415,0.000000,0.000000
C4-14,-40.007137,0.000000,0.000000
C4-15,-40.327906,0.000000,0.000000
C4-16,-35.174063,0.000000,0.000000
C4-17,-20.185265,0.000000,0.000000
C4-18,-25.163662,0.000000,0.000000
C4-19,-18.476268,0.000000,0.000000
C4-20,-17.501352,0.000000,0.000000
C4-21,-27.035329,0.000000,0.000000
C4-22,-24.896299,0.000000,0.000000
C4-23,-26.405577,0.000000,0.000000
C4-24,-20.701423,0.000000,0.000000
C5-1,25.902242,0.000000,0.000000
C5-2,26.553131,0.000000,0.000000
C5-3,26.636474,0.000000,0.000000
C5-4,26.503561,0.000000,0.000000
C5-5,18.882186,0.000000,0.000000
C5-6,24.783781,0.000000,0.000000
C5-7,24.085992,0.000000,0.000000
C5-8,21.983685,0.000000,0.000000
C5-9,18.482852,0.000000,0.000000
C5-10,17.215576,0.000000,0.000000
C5-11,16.456944,0.000000,0.000000
C5-12,6.524203,0.000000,0.000000
C5-13,15.341988,0.000000,0.000000
C5-14,5.693028,0.000000,0.000000
C5-15,5.450462,0.000000,0.000000
C5-16,10.339315,0.000000,0.000000
C5-17,21.098779,0.000000,0.000000
C5-18,23.351208,0.000000,0.000000
C5-19,29.379227,0.000000,0.000000
C5-20,29.826658,0.000000,0.000000
C5-21,21.676997,0.000000,0.000000
