,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,13.734339,0.000000,0.000000
C1-2,12.863400,0.000000,0.000000
C1-3,13.106804,0.000000,0.000000
C1-4,30.193450,0.000000,0.000000
C1-5,34.109340,0.000000,0.000000
C1-6,20.677388,0.000000,0.000000
C1-7,19.504048,0.000000,0.000000
C1-8,14.492619,0.000000,0.000000
C1-9,17.684512,0.000000,0.000000
C1-10,16.534946,0.000000,0.000000
C1-11,15.612928,0.000000,0.000000
C1-12,9.994298,0.000000,0.000000
C1-13,-11.702494,0.000000,0.000000
C1-14,16.401006,0.000000,0.000000
C1-15,7.481698,0.000000,0.000000
C1-16,53.596109,0.000000,0.000000
C1-17,52.971932,0.000000,0.000000
C1-18,54.133173,0.000000,0.000000
C1-19,54.416566,0.000000,0.000000
C1-20,53.947631,0.000000,0.000000
C1-21,53.393548,0.000000,0.000000
C1-22,52.455382,0.000000,0.000000
C1-23,51.073752,0.000000,0.000000
C1-24,49.858620,0.000000,0.000000
C2-1,-45.536488,0.000000,0.000000
C2-2,-45.267723,0.000000,0.000000
C2-3,-48.767230,0.000000,0.000000
C2-4,-83.650149,0.000000,0.000000
C2-5,-91.529733,0.000000,0.000000
C2-6,-65.873794,0.000000,0.000000
C2-7,-63.392109,0.000000,0.000000
C2-8,-48.967499,0.000000,0.000000
C2-9,-56.450564,0.000000,0.000000
C2-10,-54.993168,0.000000,0.000000
C2-11,-57.489288,0.000000,0.000000
C2-12,-45.323332,0.000000,0.000000
C2-13,0.644669,0.000000,0.000000
C2-14,-58.409501,0.000000,0.000000
C2-15,-37.404476,0.000000,0.000000
C2-16,-133.657587,0.000000,0.000000
C2-17,-139.483637,0.000000,0.000000
C2-18,-148.660564,0.000000,0.000000
C2-19,-151.998542,0.000000,0.000000
C2-20,-150.337158,0.000000,0.000000
C2-21,-148.008948,0.000000,0.000000
C2-22,-144.021403,0.000000,0.000000
C2-23,-139.729398,0.000000,0.000000
C2-24,-135.110834,0.000000,0.000000
C3-1,-14.715408,0.000000,0.000000
C3-2,-12.626996,0.000000,0.000000
C3-3,-8.226319,0.000000,0.000000
C3-4,9.962868,0.000000,0.000000
C3-5,13.362816,0.000000,0.000000
C3-6,-1.526150,0.000000,0.000000
C3-7,-8.967365,0.000000,0.000000
C3-8,-22.685512,0.000000,0.000000
C3-9,-21.520566,0.000000,0.000000
C3-10,-24.015045,0.000000,0.000000
C3-11,-22.305228,0.000000,0.000000
C3-12,-29.262550,0.000000,0.000000
C3-13,-53.089597,0.000000,0.000000
C3-14,-21.916845,0.000000,0.000000
C3-15,-33.080069,0.000000,0.000000
C3-16,18.169039,0.000000,0.000000
C3-17,24.260519,0.000000,0.000000
C3-18,25.255008,0.000000,0.000000
C3-19,26.174194,0.000000,0.000000
C3-20,27.031729,0.000000,0.000000
C3-21,27.820082,0.000000,0.000000
C3-22,29.126920,0.000000,0.000000
C3-23,32.024833,0.000000,0.000000
C3-24,34.053859,0.000000,0.000000
C4-1,-20.709606,0.000000,0.000000
C4-2,-21.610524,0.000000,0.000000
C4-3,-23.249023,0.000000,0.000000
C4-4,-17.272192,0.000000,0.000000
C4-5,-16.013059,0.000000,0.000000
C4-6,-22.600583,0.000000,0.000000
C4-7,-24.718487,0.000000,0.000000
C4-8,-24.816000,0.000000,0.000000
C4-9,-25.286197,0.000000,0.000000
C4-10,-26.921495,0.000000,0.000000
C4-11,-30.726064,0.000000,0.000000
C4-12,-32.297197,0.000000,0.000000
C4-13,-38.469582,0.000000,0.000000
C4-14,-29.910596,0.000000,0.000000
C4-15,-30.792433,0.000000,0.000000
C4-16,-16.089554,0.000000,0.000000
C4-17,-21.262688,0.000000,0.000000
C4-18,-27.549545,0.000000,0.000000
C4-19,-29.956964,0.000000,0.000000
C4-20,-29.043384,0.000000,0.000000
C4-21,-27.673649,0.000000,0.000000
C4-22,-25.318300,0.000000,0.000000
C4-23,-23.105913,0.000000,0.000000
C4-24,-20.489393,0.000000,0.000000
C5-1,-7.335714,0.000000,0.000000
C5-2,-5.970872,0.000000,0.000000
C5-3,-3.060971,0.000000,0.000000
C5-4,8.401738,0.000000,0.000000
C5-5,10.552169,0.000000,0.000000
C5-6,1.314193,0.000000,0.000000
C5-7,-3.249467,0.000000,0.000000
C5-8,-12.029881,0.000000,0.000000
C5-9,-11.175606,0.000000,0.000000
C5-10,-12.653810,0.000000,0.000000
C5-11,-11.305583,0.000000,0.000000
C5-12,-15.721318,0.000000,0.000000
C5-13,-30.846799,0.000000,0.000000
C5-14,-11.102824,0.000000,0.000000
C5-15,-18.311759,0.000000,0.000000
C5-16,14.097084,0.000000,0.000000
C5-17,18.323832,0.000000,0.000000
C5-18,19.465856,0.000000,0.000000
C5-19,20.238762,0.000000,0.000000
C5-20,20.697437,0.000000,0.000000
C5-21,21.075106,0.000000,0.000000
C5-22,21.694119,0.000000,0.000000
C5-23,23.316805,0.000000,0.000000
C5-24,24.364306,0.000000,0.000000
C6-1,14.300455,0.000000,0.000000
C6-2,12.862586,0.000000,0.000000
C6-3,16.601005,0.000000,0.000000
C6-4,92.299791,0.000000,0.000000
C6-5,108.838466,0.000000,0.000000
C6-6,47.384073,0.000000,0.000000
C6-7,35.062040,0.000000,0.000000
C6-8,6.128872,0.000000,0.000000
C6-9,16.987907,0.000000,0.000000
C6-10,9.784737,0.000000,0.000000
C6-11,5.693846,0.000000,0.000000
C6-12,-19.834098,0.000000,0.000000
C6-13,-115.608667,0.000000,0.000000
C6-14,9.154612,0.000000,0.000000
C6-15,-30.298319,0.000000,0.000000
C6-16,175.000000,0.000000,0.000000
C6-17,175.000000,0.000000,33.096777
C6-18,175.000000,0.000000,28.644698
C6-19,175.000000,0.000000,68.375744
C6-20,175.000000,0.000000,64.517839
C6-21,175.000000,0.000000,62.388963
C6-22,175.000000,0.000000,57.218865
C6-23,175.000000,0.000000,36.682861
C6-24,175.000000,0.000000,0.000000
C7-1,-137.366206,0.000000,0.000000
C7-2,-133.182508,0.000000,0.000000
C7-3,-137.812810,0.000000,0.000000
C7-4,-16.139659,0.000000,0.000000
C7-5,4.802506,0.000000,0.000000
C7-6,-107.628794,0.000000,0.000000
C7-7,-178.646525,0.000000,0.000000
C7-8,-147.863692,0.000000,0.000000
C7-9,-155.119300,0.000000,0.000000
C7-10,-139.000018,0.000000,0.000000
C7-11,-107.252448,0.000000,0.000000
C7-12,-133.141876,0.000000,0.000000
C7-13,-173.555168,0.000000,0.000000
C7-14,-63.206346,0.000000,0.000000
C7-15,-123.135769,0.000000,0.000000
C7-16,80.181344,0.000000,0.000000
C7-17,98.578046,0.000000,0.000000
C7-18,96.003634,0.000000,0.000000
C7-19,96.924046,0.000000,0.000000
C7-20,83.864110,0.000000,0.000000
C7-21,89.312431,0.000000,0.000000
C7-22,65.367668,0.000000,0.000000
C7-23,44.616452,0.000000,0.000000
C7-24,53.135220,0.000000,0.000000
C8-1,-52.582747,0.000000,0.000000
C8-2,-52.465316,0.000000,0.000000
C8-3,-53.319570,0.000000,0.000000
C8-4,-47.073521,0.000000,0.000000
C8-5,-46.200658,0.000000,0.000000
C8-6,-54.614186,0.000000,0.000000
C8-7,-60.934241,0.000000,0.000000
C8-8,-63.981454,0.000000,0.000000
C8-9,-66.593694,0.000000,0.000000
C8-10,-69.727252,0.000000,0.000000
C8-11,-74.702337,0.000000,0.000000
C8-12,-76.554394,0.000000,0.000000
C8-13,-82.422445,0.000000,0.000000
C8-14,-73.711292,0.000000,0.000000
C8-15,-73.961051,0.000000,0.000000
C8-16,-58.497337,0.000000,0.000000
C8-17,-63.916279,0.000000,0.000000
C8-18,-75.013955,0.000000,0.000000
C8-19,-78.884518,0.000000,0.000000
C8-20,-76.566320,0.000000,0.000000
C8-21,-73.440811,0.000000,0.000000
C8-22,-68.100647,0.000000,0.000000
C8-23,-61.908507,0.000000,0.000000
C8-24,-55.569748,0.000000,0.000000
C9-1,-45.296395,0.000000,0.000000
C9-2,-42.230919,0.000000,0.000000
C9-3,-37.077790,0.000000,0.000000
C9-4,-18.630299,0.000000,0.000000
C9-5,-15.600961,0.000000,0.000000
C9-6,-32.241904,0.000000,0.000000
C9-7,-43.714913,0.000000,0.000000
C9-8,-60.263177,0.000000,0.000000
C9-9,-61.153436,0.000000,0.000000
C9-10,-65.085434,0.000000,0.000000
C9-11,-64.498680,0.000000,0.000000
C9-12,-71.725537,0.000000,0.000000
C9-13,-95.260587,0.000000,0.000000
C9-14,-63.941837,0.000000,0.000000
C9-15,-74.498607,0.000000,0.000000
C9-16,-22.519509,0.000000,0.000000
C9-17,-16.663872,0.000000,0.000000
C9-18,-20.285169,0.000000,0.000000
C9-19,-20.769811,0.000000,0.000000
C9-20,-18.564602,0.000000,0.000000
C9-21,-16.091655,0.000000,0.000000
C9-22,-11.921008,0.000000,0.000000
C9-23,-5.204683,0.000000,0.000000
C9-24,0.395681,0.000000,0.000000
C10-1,-65.913379,0.000000,0.000000
C10-2,-62.676978,0.000000,0.000000
C10-3,-58.325761,0.000000,0.000000
C10-4,-46.368271,0.000000,0.000000
C10-5,-44.927743,0.000000,0.000000
C10-6,-57.521619,0.000000,0.000000
C10-7,-69.808151,0.000000,0.000000
C10-8,-84.009634,0.000000,0.000000
C10-9,-87.092088,0.000000,0.000000
C10-10,-91.323851,0.000000,0.000000
C10-11,-92.126842,0.000000,0.000000
C10-12,-97.058870,0.000000,0.000000
C10-13,-111.625034,0.000000,0.000000
C10-14,-91.601400,0.000000,0.000000
C10-15,-97.648678,0.000000,0.000000
C10-16,-63.841543,0.000000,0.000000
C10-17,-60.066550,0.000000,0.000000
C10-18,-67.766032,0.000000,0.000000
C10-19,-69.682149,0.000000,0.000000
C10-20,-66.642012,0.000000,0.000000
C10-21,-63.037517,0.000000,0.000000
C10-22,-56.932898,0.000000,0.000000
C10-23,-47.996071,0.000000,0.000000
C10-24,-40.107696,0.000000,0.000000
C11-1,-53.839766,0.000000,0.000000
C11-2,-52.119582,0.000000,0.000000
C11-3,-50.794843,0.000000,0.000000
C11-4,-50.340082,0.000000,0.000000
C11-5,-50.992566,0.000000,0.000000
C11-6,-54.077033,0.000000,0.000000
C11-7,-61.175261,0.000000,0.000000
C11-8,-66.157861,0.000000,0.000000
C11-9,-69.776178,0.000000,0.000000
C11-10,-72.307023,0.000000,0.000000
C11-11,-74.284245,0.000000,0.000000
C11-12,-74.758779,0.000000,0.000000
C11-13,-74.244701,0.000000,0.000000
C11-14,-73.987662,0.000000,0.000000
C11-15,-72.919962,0.000000,0.000000
C11-16,-71.634767,0.000000,0.000000
C11-17,15.950016,0.000000,0.000000
C11-18,-14.176368,0.000000,0.000000
C11-19,5.352104,0.000000,0.000000
C11-20,7.724771,0.000000,0.000000
C11-21,10.690604,0.000000,0.000000
C11-22,-51.889873,0.000000,0.000000
C11-23,-65.544922,0.000000,0.000000
C11-24,-59.257355,0.000000,0.000000
C12-1-1,-71.835836,0.000000,0.000000
C12-1-2,-71.501180,0.000000,0.000000
C12-1-3,-73.329832,0.000000,0.000000
C12-1-4,-77.402305,0.000000,0.000000
C12-1-5,-78.932625,0.000000,0.000000
C12-1-6,-80.068587,0.000000,0.000000
C12-1-7,-86.353370,0.000000,0.000000
C12-1-8,-78.566903,0.000000,0.000000
C12-1-9,-70.982442,0.000000,0.000000
C12-1-10,-64.003569,0.000000,0.000000
C12-1-11,-73.022281,0.000000,0.000000
C12-1-12,-59.232021,0.000000,0.000000
C12-1-13,-51.605298,0.000000,0.000000
C12-1-14,-64.200460,0.000000,0.000000
C12-1-15,-65.192269,0.000000,0.000000
C12-1-16,-90.544057,0.000000,0.000000
C12-1-17,-69.191335,0.000000,0.000000
C12-1-18,-94.971123,0.000000,0.000000
C12-1-19,-89.139217,0.000000,0.000000
C12-1-20,-86.076636,0.000000,0.000000
C12-1-21,-81.938959,0.000000,0.000000
C12-1-22,-108.679696,0.000000,0.000000
C12-1-23,-110.702163,0.000000,0.000000
C12-1-24,-102.320660,0.000000,0.000000
C13-2-1,-55.656730,0.000000,0.000000
C13-2-2,-51.917991,0.000000,0.000000
C13-2-3,-46.952358,0.000000,0.000000
C13-2-4,-41.803010,0.000000,0.000000
C13-2-5,-41.817770,0.000000,0.000000
C13-2-6,-47.985826,0.000000,0.000000
C13-2-7,-58.509649,0.000000,0.000000
C13-2-8,-64.194913,0.000000,0.000000
C13-2-9,-54.747548,0.000000,0.000000
C13-2-10,-47.819461,0.000000,0.000000
C13-2-11,-49.502015,0.000000,0.000000
C13-2-12,-40.296768,0.000000,0.000000
C13-2-13,-47.206154,0.000000,0.000000
C13-2-14,-41.502324,0.000000,0.000000
C13-2-15,-52.282201,0.000000,0.000000
C13-2-16,-48.487073,0.000000,0.000000
